;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Belgium;1975,8;1886,11;1677,92;1821,8;1847,89;1892,2;2069,02;1431,44;1690,84;1661,86;1902,38;:
Bulgária;4092,4;4194,57;4588,1;4600,15;5652,17;5458,99;5140,14;5942,78;6318,08;5954,52;6319,63;:
Csehország;4358,1;4161,55;4913,05;3518,9;4700,7;5442,35;5274,27;5454,66;4718,21;4417,84;4812,16;4919,04
Dánia;5871,33;5001,06;4775,22;4472,48;4097;5093,38;4971,51;4152,65;4777,89;2623,93;4642,09;3889,85
Németország;25190,3;23782,96;22782,7;22409,3;25019,1;27784,8;26549,5;24463,8;24481,6;20263,5;23062,6;22170,5
Észtország;342,5;327,6;360,2;484,7;406,8;615,5;812,6;455,5;713,26;450,27;846,58;:
Írország;646,39;640,43;872,06;656,22;524,84;678,55;653,41;610,24;634,4;485,48;595,36;362,7
Görögország;2235,06;2114,76;1931,81;1636,83;1716,05;1737,3;1190,11;1665,35;1023,9;1072,94;1066,49;1071,7
Spanyolország;4883,69;6079,36;7957,86;5310,52;7924,91;6621,89;6627,04;8199,69;5033,04;8322,51;6041,17;8261,87
Franciaország;37878,97;37593,23;35574,27;37479,86;38188,22;38538,23;42219,23;28913,58;38228,15;35424,14;40639,08;:
Horvátország;946,96;688,94;791,6;1011,31;1010,56;658,37;771,85;969,05;695,59;753,06;803,27;822,15
Olaszország;6267,27;6698,46;6545;7565,24;7510,13;7317,15;:;8236,95;7139,01;7104,65;6739,47;6648,07
Ciprus;15,34;19,44;24,46;23,51;15,66;4,53;36,06;7,1;17,11;15,33;28,45;27,88
Lettország;1036,4;989,4;939,5;1539,8;1435;1467,5;2250,1;2062,3;2138,8;1431,6;2371;:
Litvánia;2100,2;1710,4;1869,3;2998,9;2871,3;3230,6;4394,08;3844,49;3917,37;2838,9;3843,85;4461,8
Luxemburg;89,84;82,5;75,95;78,28;90;77,04;92,01;70,15;77,55;79,65;82,26;:
Magyarország;4393,41;3723,41;4082,76;3987,67;5028,89;5261,89;5331,43;5603,18;5246,26;5258,43;5369,68;5010,03
Hollandia;1369,4;1338,14;1147,67;1271,72;1303,95;1273,67;1269,81;995,2;1032,21;961,92;1130,53;:
Ausztria;1523,4;1517,81;1781,84;1275,5;1597,71;1804,02;1715,7;1965,54;1434,38;1367,06;1596,88;1571,36
Lengyelország;9676,06;9298,7;9230,6;8507,51;9374,91;11493,48;10753,93;10626,45;11448,66;9637,62;10807,49;11351,31
Portugália;128,48;85,46;52,78;61,05;95,22;102,24;83,2;93,16;61,69;70,11;61,6;58,53
Románia;5202,53;5811,81;7131,59;5297,75;7296,37;7584,81;7962,42;8431,13;10034,96;10143,67;10019,82;6064,55
Szlovénia;136,9;153,48;153,58;188,07;138,24;173,24;157,06;163,17;140,96;121,9;139,81;158,05
Szlovákia;1528,96;1178,4;1621,62;1267,89;1674,48;2060,36;2082,13;:;1770,66;1927,93;1959,94;2100
Finnország;899,38;735,35;988,4;898,45;881,53;1103,38;1005,94;834,44;812,24;501,6;914,18;753,3
Svédország;2277,9;2143;2226,7;2289,3;1868,6;3086,4;3300,4;2841,6;3298,6;1620,3;3476,8;3113
Egyesült Királyság;13994,16;14791,5;15168,3;13183,9;11851,69;16509,45;16348,4;14215,76;14664,48;13397,38;16035,84;9962,79
Norvégia;:;327,15;281,69;271,8;210,52;385,07;489,44;305,8;:;:;:;:
Svájc;557,37;531,19;560,68;519,31;488,36;557,07;533,21;391,11;536,65;502,85;518,1;:
Montenegro;1,17;0,96;1,63;1,46;2,33;2,18;2,13;2,38;2,49;2,5;:;:
Észak Macedónia;274,27;245,96;259,08;217,46;261,97;291,3;203,56;310;202,44;243,91;242,71;240,46
Albánia;329,23;291,47;289,4;296,51;:;276,74;271,8;271,8;:;237,51;:;:
Szerbia;2598,18;2085,53;2609,19;2399,22;2690,27;2387,2;2428,2;2885;2275,6;2941,6;2534,64;:
Törökország;20520;19682;21807;20107;22064;19006;22605;21467,53;22407,29;20664,59;19798,47;:
Bosznia-Hercegovina;258,82;293,79;212,45;227,75;268,24;172,03;215,49;310,17;292,1;299,25;267,85;:
Koszovó;271,4;294,5;300,2;345;391,7;328,2;304,4;365,7;320,1;280,6;285;:
